NOME_MUNICIPIO,CODIGO,GENTILICO,PREFEITO2017,AREA,POPESTIMADA,DENSIDADE,ESCOLARIZACAO,IDHM,MORTALIDADE,RECEITAS,DESPESAS,PIB
Poconé,5106505,poconeano,ATAIL MARQUES DO AMARAL,17025.406,32768,1.84,94.3,0.652,12.99,45771.23149,50144.93549,15841.91
Pontal do Araguaia,5106653,pontalense,GERSON ROSA DE MORAES,2736.619,6578,1.97,97.7,0.734,14.29,19501.72037,15620.10965,14621.50
Ponte Branca,5106703,ponte-branquense,HUMBERTO LUIZ NOGUEIRA DE MENEZES,686.687,1602,2.58,98,0.686,55.56,13574.42421,11423.66633,15936.02
Pontes e Lacerda,5106752,lacerdense,ALCINO PEREIRA BARCELOS,8567.455,45093,4.84,96.8,0.703,13.02,116742.34917,91387.09069,27402.72
Porto Alegre do Norte,5106778,porto-alegrense,DANIEL ROSA DO LAGO,3972.255,12347,2.71,97.4,0.673,8.62,29089.82823,25785.81792,17891.33
Porto dos Gaúchos,5106802,porto-gauchense,MOACIR PINHEIRO PIOVESAN,6862.118,5429,0.78,97.1,0.685,40.00,34937.42388,30058.92509,66527.17
Porto Esperidião,5106828,portense,MARTINS DIAS DE OLIVEIRA,5810.977,11935,1.90,98.5,0.652,25.00,46745.57907,39029.72208,17191.19
Porto Estrela,5106851,portoestrelense,EUGÊNIO PELACHIM,2057.327,3050,1.77,93.1,0.599,29.41,18959.33564,15671.29884,18182.35
Poxoréu,5107008,poxoreano ou poxorense,NELSON ANTONIO PAIM,6874.158,16421,2.55,94.3,0.678,12.24,50683.18155,46483.1624,32843.98
Primavera do Leste,5107040,primaverense,LEONARDO TADEU BORTOLIN,5482.065,61038,9.52,94.7,0.752,3.07,222002.10878,195922.74098,61274.33
Querência,5107065,querenciano,FERNANDO GORGEN,17786.195,17014,0.73,91.1,0.692,8.26,79500.36812,68482.62872,75163.71
São José dos Quatro Marcos,5107107,quatro-marquense,RONALDO FLOREANO DOS SANTOS,1287.884,18967,14.75,98.5,0.719,14.29,41082.71663,41245.0841,19006.62
Reserva do Cabaçal,5107156,reservense,TARCISIO FERRARI,1342.076,2721,1.92,99.2,0.676,25.00,14382.97209,12338.99701,14493.00
Ribeirão Cascalheira,5107180,cascalheirense,LUZIA NUNES BRANDÃO,11354.805,10081,0.78,94.3,0.670,11.30,28363.7012,27875.86994,26125.61
Ribeirãozinho,5107198,ribeirãozense,RONIVON PARREIRA DAS NEVES,625.806,2388,3.52,95.9,0.692,40.00,18006.53146,14127.56602,31510.34
Rio Branco,5107206,rio-branquense,ANTONIO XAVIER DE ARAUJO,561.641,5159,9.01,97.8,0.707,12.05,20487.6951,17075.62816,15825.35
Santa Carmem,5107248,santa-carmense,RODRIGO AUDREY FRANTZ,3855.362,4486,1.06,98.7,0.715,12.20,25425.43122,21598.44775,78374.26
